ที่,รหัสสายทาง,อำเภอ,ชื่อสายทาง,ระยะทางรวม (กม.),ปีงบประมาณ 2561,,,ปีงบประมาณ 2562,,,ปีงบประมาณ 2563,,,,,,,,
,,,,,ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",สามารถใช้การได้ (กม.),ต้องได้รับการซ่อมแซม (กม.),ค่าพิกัดจุดเริ่มต้นสายทาง,ด่วพิกัดจุดสิ้นสุดสายทาง,ลิงค์ google map,
75,อบจ.นม.10310,โนนสูง,บ.บิง - บ.จันดุม,3.023,  -   ,  -   ,  0.137 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.886 ," 15.126795,102.304936"," 15.153635,102.295839",คลิกที่นี้,
76,อบจ.นม.10311,โนนสูง,บ.ถนนถั่ว - บ.บิง,2.450,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.450 ," 15.131344,102.228845"," 15.137090,102.250796",คลิกที่นี้,
77,อบจ.นม.10312,โนนสูง,บ.มะรุม - บ.มะค่า,0.470,  -   ,  -   ,  0.300 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.170 ," 15.273631,102.271037"," 15.275287,102.275153",คลิกที่นี้,
78,อบจ.นม.11201,ขามสะแกแสง,สุขาภิบาลขามสะแกแสง - บ.ห้วย,8.000,  -   ,  -   ,  0.545 ,  -   ,  -   ,  -   ,  0.284 ,  -   ,  -   ,  -   ,  7.171 ," 15.334285,102.179171"," 15.349938,102.246060",คลิกที่นี้,
79,อบจ.นม.11202,ขามสะแกแสง,ขามสะแกแสง - บ.โนนผักชี,8.100,  -   ,  -   ,  0.545 ,  -   ,  -   ,  -   ,  0.750 ,  -   ,  -   ,  -   ,  6.805 ," 15.333781,102.156808"," 15.351627,102.087716",คลิกที่นี้,
80,อบจ.นม.12301,บัวใหญ่,บ.หนองพลวง - บ.โคกสะอาด,7.750,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.750 ," 15.592939,102.263100"," 15.547344,102.297547",คลิกที่นี้,
81,อบจ.นม.12202,บัวใหญ่,บ.ดอนคนทา - บ.โคกกลาง,6.300,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.000 ,  -   ,  -   ,  -   ,  5.300 ," 15.658837,102.360888"," 15.687821,102.401213",คลิกที่นี้,
82,อบจ.นม.12203,บัวใหญ่,บ.ป่าตอง - บ.หลุบกุง,5.275,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.275 ," 15.593536,102.427724"," 15.637916,102.436704",คลิกที่นี้,
83,อบจ.นม.12204,บัวใหญ่,หนองหญ้าปล้อง - บ.ด่านช้าง,5.200,  -   ,  -   ,  0.393 ,  0.960 ,  -   ,  1.400 ,  0.380 ,  -   ,  0.385 ,  -   ,  1.682 ," 15.658688,102.300349"," 15.634364,102.310460",คลิกที่นี้,
84,อบจ.นม.12206,สีดา,บ.ตาลาด - บ.หนองอ้ายแหนบ,8.450,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.580 ,  2.940 ,  -   ,  -   ,  4.930 ," 15.487353,102.519594"," 15.528298,102.510649",คลิกที่นี้,
85,อบจ.นม.12207,บัวใหญ่,บ.กรวย - บ.เสมาใหญ่,1.900,  -   ,  -   ,  0.200 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.700 ," 15.483330,102.475245"," 15.496202,102.464350",คลิกที่นี้,
86,อบจ.นม.12208,บัวใหญ่,บ.หนองแจ้งใหญ่ - บ.อีโค,4.110,  -   ,  -   ,  0.521 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.589 ," 15.559129,102.389701"," 15.593147,102.384905",คลิกที่นี้,
87,อบจ.นม.13201,ประทาย,บ.เขว้า ม.6 - บ.นางรำ,3.630,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.630 ," 15.526226,102.618116"," 15.502156,102.616983",คลิกที่นี้,
88,อบจ.นม.13202,ประทาย,หนองม่วงใหญ่ -  บ.หนองกุง,3.721,  -   ,  -   ,  0.118 ,  -   ,  -   ,  -   ,  0.272 ,  -   ,  0.290 ,  -   ,  3.041 ," 15.601074,102.671870"," 15.594787,102.700245",คลิกที่นี้,
89,อบจ.นม.13203,ประทาย,บ.ดอนมัน - บ.ละเลิงเหิน,3.275,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.275 ," 15.484460,102.756574"," 15.486663,102.722991",คลิกที่นี้,
90,อบจ.นม.13304,ประทาย,บ.ไร่อ้อย - บ.หันห้วยทราย,7.500,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.340 ,  -   ,  0.165 ,  -   ,  6.995 ," 15.574075,102.649178"," 15.633202,102.647462",คลิกที่นี้,
91,อบจ.นม.13305,ประทาย,บ.ทุ่งมน - บ.สำโรง,0.600,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.261 ,  -   ,  -   ,  -   ,  0.339 ," 15.551490,102.759040"," 15.557095,102.759017",คลิกที่นี้,
92,อบจ.นม.13306,ประทาย,บ.กระทุ่มราย - บ.โนนหญ้านาง,11.338,  -   ,  -   ,  1.248 ,  -   ,  -   ,  -   ,  0.340 ,  -   ,  1.900 ,  -   ,  7.850 ," 15.553497,102.643948"," 15.624507,102.687733",คลิกที่นี้,
93,อบจ.นม.13307,ประทาย,บ.บึงกระโดน - บ.ดอนยาว,10.800,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.620 ,  -   ,  0.200 ,  -   ,  9.980 ," 15.546807,102.740732"," 15.640268,102.745769",คลิกที่นี้,
94,อบจ.นม.14201,ปักธงชัย,บ.งิ้ว - บ.หนองโดน,12.698,  -   ,  -   ,  0.588 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  10.256 ,  1.854 ," 14.688450,102.010930"," 14.691894,101.910955",คลิกที่นี้,
95,อบจ.นม.14202,ปักธงชัย,บ.พระบึง - บ.พัดทะเล,6.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.000 ," 14.653314,101.890674"," 14.608788,101.883756",คลิกที่นี้,
96,อบจ.นม.14203,ปักธงชัย,บ.โคกศิลา - บ.หัน,4.760,  -   ,  -   ,  0.588 ,  -   ,  -   ,  0.210 ,  0.998 ,  -   ,  -   ,  -   ,  2.964 ," 14.750858,102.035216"," 14.734169,101.999206",คลิกที่นี้,
97,อบจ.นม.14204,ปักธงชัย,บ.เก่านางเหริญ - บ.โกรกละลาย,3.990,  -   ,  -   ,  0.588 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.402 ," 14.663542,102.057688"," 14.645173,102.083154",คลิกที่นี้,
98,อบจ.นม.14305,ปักธงชัย,บ.ลำซอ - บ.โคกสมอ,7.700,  -   ,  -   ,  0.588 ,  -   ,  -   ,  0.160 ,  0.680 ,  -   ,  -   ,  -   ,  6.272 ," 14.720496,102.096362"," 14.734023,102.029589",คลิกที่นี้,
99,อบจ.นม.14306,ปักธงชัย,บ.หนองแฟบ - บ.โคกนางเหริญ,20.150,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  20.150 ," 14.612684,102.049797"," 14.653327,102.064324",คลิกที่นี้,
100,อบจ.นม.14307,ปักธงชัย,บ.โคกสระน้อย - บ.เก่าสะแกราช,13.992,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  13.992 ," 14.681039,102.049591"," 14.616468,102.017712",คลิกที่นี้,
101,อบจ.นม.14308,ปักธงชัย,บ.นกออก - บ.หนองหญ้าปล้อง,13.295,  -   ,  -   ,  0.150 ,  -   ,  -   ,  -   ,  1.200 ,  -   ,  0.180 ,  -   ,  11.765 ," 14.694643,102.026925"," 14.659480,102.013599",คลิกที่นี้,
102,อบจ.นม.14009,ปักธงชัย,บ.หนองปล้อง - บ.คลองกี่,12.655,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  9.800 ,  2.855 ," 14.673182,102.014870"," 14.677088,101.951999",คลิกที่นี้,
103,อบจ.นม.14010,ปักธงชัย,บ.โคกสะอาด ม.1 - บ.บุชะอม ม.4,1.250,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.250 ," 14.678953,101.911664"," 14.675736,101.897739",คลิกที่นี้,
104,อบจ.นม.14011,ปักธงชัย,แยก ทล.หมายเลข 24  - บ.สวนหอม,11.671,  -   ,  -   ,  -   ,  -   ,  -   ,  0.210 ,  -   ,  -   ,  0.400 ,  9.500 ,  1.561 ," 14.786788,101.938387"," 14.786788,101.938387",คลิกที่นี้,จุดเริ่มต้นกับปลายทาง
105,อบจ.นม.14012,ปักธงชัย,บ.หนองตะแบก - บ.หนองประดู่,6.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.000 ," 14.642002,102.065110"," 14.642093,102.085362",คลิกที่นี้,
106,อบจ.นม.15101,พิมาย,สายเมนที่ 3,7.000,  -   ,  -   ,  0.502 ,  -   ,  -   ,  -   ,  1.120 ,  -   ,  -   ,  -   ,  5.378 ," 15.118698,102.515325"," 15.109447,102.450831",คลิกที่นี้,
107,อบจ.นม.15102,พิมาย,สายเมนที่ 4,5.600,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.567 ,  -   ,  0.380 ,  -   ,  4.653 ," 15.208319,102.530644"," 15.170807,102.561556",คลิกที่นี้,
108,อบจ.นม.15103,พิมาย,สายเมนที่ 1,6.240,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.320 ,  2.000 ,  3.920 ," 15.156195,102.510498"," 15.146062,102.455690",คลิกที่นี้,
109,อบจ.นม.15204,พิมาย,บ.หนองปรือ - บ.ดงใหญ่,7.550,  -   ,  -   ,  0.170 ,  -   ,  -   ,  -   ,  1.225 ,  -   ,  0.320 ,  -   ,  5.835 ," 15.269444,102.623083"," 15.327865,102.596880",คลิกที่นี้,
110,อบจ.นม.15205,พิมาย,สายเมนที่ 5,8.213,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.250 ,  -   ,  -   ,  -   ,  6.963 ," 15.162640,102.509420"," 15.180554,102.563854",คลิกที่นี้,
111,อบจ.นม.15206,พิมาย,บ.เมืองที - บ.ธารละหลอด,2.510,  -   ,  -   ,  0.103 ,  -   ,  -   ,  -   ,  0.500 ,  -   ,  -   ,  -   ,  1.907 ," 15.161307,102.382165"," 15.158370,102.360190",คลิกที่นี้,
112,อบจ.นม.15307,พิมาย,บ.วังหิน - บ.ทองหลาง,5.662,  -   ,  -   ,  0.502 ,  -   ,  -   ,  -   ,  0.806 ,  -   ,  -   ,  -   ,  4.354 ," 15.189211,102.503144"," 15.166546,102.462187",คลิกที่นี้,
113,อบจ.นม.15308,พิมาย,บ.ท่าหลวง - บ.กล้วย,16.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.180 ,  -   ,  -   ,  3.600 ,  10.220 ," 15.248040,102.512537"," 15.296707,102.612750",คลิกที่นี้,
114,อบจ.นม.15309,พิมาย,บ.โนนไม้แดง - บ.ใหม่ไทยจารย์,9.518,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.900 ,  5.618 ," 15.171266,102.665340"," 15.110708,102.710254",คลิกที่นี้,
115,อบจ.นม.15310,พิมาย,บ.ตำแย - บ.วัด,5.965,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.600 ,  1.365 ," 15.239648,102.458164"," 15.286129,102.467500",คลิกที่นี้,
116,อบจ.นม.16101,ห้วยแถลง,บ.เจริญผล - บ.สระแก้ว,6.200,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.380 ,  -   ,  5.820 ," 15.000003,102.646399"," 15.051978,102.635605",คลิกที่นี้,
117,อบจ.นม.16202,ห้วยแถลง,บ.หนองเครือ - บ.ห้วยแคน,5.600,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.000 ,  1.600 ," 14.953984,102.638183"," 14.948401,102.687188",คลิกที่นี้,
118,อบจ.นม.16203,ห้วยแถลง,บ.หนองแสง - บ.หนองม่วง,2.000,  -   ,  -   ,  0.160 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.840 ," 15.044365,102.519647"," 15.026974,102.518483",คลิกที่นี้,
119,อบจ.นม.16204,ห้วยแถลง,บ.หินดาด - บ.หนองปื้ด,15.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  15.000 ," 15.002540,102.561562"," 14.927602,102.543710",คลิกที่นี้,
120,อบจ.นม.16005,ห้วยแถลง,บ.หนองจิก - บ.ปรางค์ ,1.284,  -   ,  -   ,  0.120 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.160 ,  -   ,  1.004 ," 14.977849,102.639718"," 14.968700,102.633758",คลิกที่นี้,
121,อบจ.นม.16006,ห้วยแถลง,บ.โนนสุวรรณ - บ.โนนเสมา ,0.570,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.570 ," 15.052319,102.511733"," 15.051420,102.506582",คลิกที่นี้,
122,อบจ.นม.17301,ชุมพวง,บ.เหล่าจั่น - บ.หนองม่วง,2.200,  -   ,  -   ,  0.143 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.155 ,  -   ,  1.902 ," 15.250262,102.728464"," 15.239728,102.713828",คลิกที่นี้,
123,อบจ.นม.17302,ชุมพวง,บ.หนองจิก - บ.ชุมพวง,21.706,  -   ,  -   ,  0.200 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  21.506 ," 15.352028,102.741701"," 15.281498,102.652183",คลิกที่นี้,
124,อบจ.นม.17303,ชุมพวง,บ.หนองโน - บ.หนองตาด,2.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.000 ," 15.220379,102.818503"," 15.209018,102.806517",คลิกที่นี้,
125,อบจ.นม.17304,ชุมพวง,บ.ประสุข - บ.หนองจิก,4.332,  -   ,  -   ,  0.476 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.155 ,  -   ,  3.701 ," 15.310461,102.640478"," 15.281193,102.647956",คลิกที่นี้,
126,อบจ.นม.17305,ชุมพวง,บ.ละโว้ - บ.เขว้า,1.200,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.200 ," 15.310987,102.719831"," 15.313809,102.709703",คลิกที่นี้,
127,อบจ.นม.17306,ชุมพวง,บ.หนองไร่ - บ.ลุงประดู่,2.900,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.900 ," 15.133591,102.764426"," 15.158272,102.772578",คลิกที่นี้,
128,อบจ.นม.17307,ชุมพวง,บ.โนนรัง - บูรพา,0.700,  -   ,  -   ,  0.200 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.500 ," 15.222984,102.836701"," 15.217116,102.837301",คลิกที่นี้,
129,อบจ.นม.17308,ประทาย,บ.ลิ้นฟ้า - บ.ท่าสวนยา,6.912,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.375 ,  -   ,  -   ,  -   ,  6.537 ," 15.426761,102.890678"," 15.512310,102.843848",คลิกที่นี้,
130,อบจ.นม.17309,ชุมพวง,บ.หนองหว้า - บ.หนองขาม,11.000,  -   ,  -   ,  0.527 ,  -   ,  -   ,  -   ,  0.380 ,  -   ,  -   ,  -   ,  10.093 ," 15.209367,102.779674"," 15.288878,102.737734",คลิกที่นี้,
131,อบจ.นม.17210,ชุมพวง,บ.ขุนละคร - บ.หนองออ,10.850,  -   ,  -   ,  0.397 ,  -   ,  -   ,  -   ,  0.960 ,  -   ,  -   ,  -   ,  9.493 ," 15.405565,102.748035"," 15.413629,102.846366",คลิกที่นี้,
132,อบจ.นม.18201,สูงเนิน,บ.มะเกลือใหม่ - บ.สูงเนิน,7.030,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.030 ," 14.871767,101.765451"," 14.892033,101.822074",คลิกที่นี้,
133,อบจ.นม.18202,สูงเนิน,บ.ตะคองหลง - บ.โสกแจ้ง,10.142,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.580 ,  -   ,  -   ,  -   ,  8.562 ," 14.900790,101.815433"," 14.992963,101.782222",คลิกที่นี้,
134,อบจ.นม.18203,สูงเนิน,สุขาภิบาลสูงเนิน - โบราณสถานวัดธรรมจักรเสมาราม,3.800,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.800 ," 14.922470,101.804302"," 14.915052,101.793120",คลิกที่นี้,
135,อบจ.นม.18204,สูงเนิน,สุขาภิบาลสูงเนิน - ปราสาทหินเมืองแขก,1.385,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.385 ," 14.905871,101.834111"," 14.910850,101.831334",คลิกที่นี้,
136,อบจ.นม.18205,สูงเนิน,กุดจิก - บ.โนนค่า,3.890,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.890 ," 14.911809,101.880464"," 14.940703,101.867175",คลิกที่นี้,
137,อบจ.นม.18206,สูงเนิน,บ.หนองตะไก้ - บ.ดอนกอก,4.674,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.674 ," 14.849093,101.898058"," 14.848732,101.860312",คลิกที่นี้,
138,อบจ.นม.18307,สูงเนิน,บ.บุใหญ่ - บ.นาตะโครก,3.548,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.548 ," 14.885614,101.867132"," 14.907247,101.848118",คลิกที่นี้,
139,อบจ.นม.18008,สูงเนิน,ทางเข้าปราสาทเมืองแขก,2.850,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.850 ," 14.892280,101.822221"," 14.909268,101.832008",คลิกที่นี้,
140,อบจ.นม.18009,สูงเนิน,สายยุทธศาสตร์ บ.กุดจิก - บ.นากลาง,7.050,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.560 ,  -   ,  -   ,  -   ,  4.490 ," 14.897229,101.835543"," 14.899429,101.900317",คลิกที่นี้,
141,อบจ.นม.18010,สูงเนิน,บ.โนนค่า,0.400,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.400 ," 14.937672,101.866832"," 14.937868,101.863199",คลิกที่นี้,
142,อบจ.นม.18011,สูงเนิน,บ.โนนค่า - บ.โคกกระพี้,2.220,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.220 ," 14.948233,101.862226"," 14.967363,101.857821",คลิกที่นี้,
143,อบจ.นม.18012,สูงเนิน,บ.โนนค่า - บ.หนองหอย,0.850,  -   ,  -   ,  0.110 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.740 ," 14.941091,101.866911"," 14.947554,101.862567",คลิกที่นี้,
144,อบจ.นม.18013,สูงเนิน,บ.บุใหญ่ - บ.สุขาวดี,0.850,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.850 ," 14.882802,101.863812"," 14.870142,101.864237",คลิกที่นี้,
145,อบจ.นม.19101,ขามทะเลสอ,บ.หนองกระโดน - บ.หนองม่วง,7.880,  0.150 ,  -   ,  0.520 ,  -   ,  -   ,  -   ,  1.000 ,  -   ,  -   ,  -   ,  6.210 ,"15.048611,101.910928","14.995327,101.893929",คลิกที่นี้,
146,อบจ.นม.19202,ขามทะเลสอ,บ.หนองคู - บ.โป่งสุริยา,2.085,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.085 ,"14.951012,101.950845","14.944680,101.932215",คลิกที่นี้,
147,อบจ.นม.19303,ขามทะเลสอ,บ.ขามทะเลสอ - บ.โนน,6.425,  1.180 ,  -   ,  0.417 ,  -   ,  -   ,  -   ,  0.855 ,  -   ,  -   ,  -   ,  3.973 ,"14.954634,101.950119","14.937490,101.904217",คลิกที่นี้,
148,อบจ.นม.19204,ขามทะเลสอ,บ.บึงอ้อ - บ.โตนด,11.046,  0.462 ,  -   ,  0.417 ,  2.370 ,  -   ,  -   ,  0.875 ,  -   ,  -   ,  -   ,  6.922 ,"15.010162,101.925159","15.069012,101.979993",คลิกที่นี้,
149,อบจ.นม.19005,ขามทะเลสอ,บ.โตนด ม.3 ต.พันดุง - บ.โนนตาล ม.2 ต.บึงอ้อ,1.900,  1.350 ,  -   ,  0.417 ,  0.675 ,  -   ,  -   ,  0.278 ,  -   ,  -   ,  -   ,  -   ,"15.068853,101.976128","15.058468,101.991921",คลิกที่นี้,
150,อบจ.นม.20101,สีคิ้ว,บ.ลาดใหญ่ - บ.หนองไทร,7.130,  -   ,  -   ,  0.418 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.712 ,"14.988846,101.459307","14.966413,101.509696",คลิกที่นี้,
151,อบจ.นม.20302,สีคิ้ว,บ.สีคิ้ว - บ.หนองไม้ตาย,13.410,  -   ,  -   ,  0.418 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.215 ,  -   ,  12.777 ,"14.893814,101.730273","14.993771,101.745584",คลิกที่นี้,
152,อบจ.นม.20304,สีคิ้ว,บ.หนองน้ำใส - บ.สง่าพัฒนา,3.300,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.422 ,  -   ,  -   ,  -   ,  2.878 ,"14.942249,101.502008","14.949309,101.473469",คลิกที่นี้,
153,อบจ.นม.20305,สีคิ้ว,บ.สีคิ้ว - บ.หัน,10.182,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.315 ,  -   ,  0.215 ,  -   ,  9.652 ,"14.890429,101.728891","14.959624,101.754719",คลิกที่นี้,
154,อบจ.นม.20306,สีคิ้ว,แยก ทล.2 - ทางแยกเข้าตลาดด่านขุนทด,8.027,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  8.027 ,"15.095349,101.721480","15.173399,101.814952",คลิกที่นี้,
155,อบจ.นม.21301,ปากช่อง,บ.คลองยาง - บ.คลองม่วง,21.100,  1.100 ,  -   ,  0.520 ,  -   ,  -   ,  -   ,  0.445 ,  -   ,  -   ,  -   ,  19.035 ,"14.718601,101.512733","14.638607,101.655203",คลิกที่นี้,
156,อบจ.นม.21102,ปากช่อง,บ.ซับสวอง - บ.ไร่,10.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  10.000 ,"14.602557,101.468138","14.557048,101.408525",คลิกที่นี้,
157,อบจ.นม.21103,ปากช่อง,เขาจันทร์หอม - บุ่งเตย,4.000,  1.361 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.639 ,"14.578124,101.552079","14.545966,101.530914",คลิกที่นี้,
158,อบจ.นม.21104,ปากช่อง,รร.นิคมชลฯ - ซับเศรษฐี,5.000,  1.045 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.955 ,"14.640817,101.540428","14.659157,101.576654",คลิกที่นี้,
159,อบจ.นม.21205,ปากช่อง,บ.ขนงพระกลาง - บ.โป่งกระสัง,6.201,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.050 ,  -   ,  -   ,  -   ,  5.151 ,"14.612277,101.445529","14.609816,101.402909",คลิกที่นี้,
160,อบจ.นม.21206,ปากช่อง,บ.บุ่งเตย - บ.สระน้ำใส,5.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.000 ,"14.549218,101.505535","14.555531,101.478312",คลิกที่นี้,
161,อบจ.นม.21208,ปากช่อง,บ.หนองขี้ตุ่น - บ.หนองจอก,4.390,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4.390 ,"14.553418,101.574252","14.521495,101.527833",คลิกที่นี้,
162,อบจ.นม.21109,ปากช่อง,หนองไทร - วังไทร,7.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.628 ,  -   ,  -   ,  -   ,  5.372 ,"14.637856,101.639730","14.687891,101.601136",คลิกที่นี้,
163,อบจ.นม.21110,ปากช่อง,บ.ทรัพย์เศรษฐี - บ.กุดโง้ง,4.046,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.750 ,  -   ,  -   ,  -   ,  3.296 ," 14.648646,101.585172"," 14.671974,101.611075",คลิกที่นี้,
164,อบจ.นม.21111,ปากช่อง,บ.นา - บ.ขนงพระเหนือ,11.815,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.000 ,  -   ,  -   ,  -   ,  10.815 ," 14.604562,101.471150"," 14.622525,101.439279",คลิกที่นี้,
165,อบจ.นม.21112,ปากช่อง,บ.โป่งไทร - บ.ซับสำราญ,3.900,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.250 ,  -   ,  -   ,  -   ,  1.650 ," 14.499498,101.565986"," 14.530427,101.577350",คลิกที่นี้,
166,อบจ.นม.21113,ปากช่อง,บ.โนนอารีย์ - บ.หนองใหญ่,0.650,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.650 ," 14.737462,101.371747"," 14.738173,101.378608",คลิกที่นี้,
167,อบจ.นม.21114,ปากช่อง,ต่อทางของเทศบาลปากช่อง - แยกไปชัยภูมิ,7.400,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.400 ," 14.718840,101.395651"," 14.761127,101.345076",คลิกที่นี้,
168,อบจ.นม.21115,ปากช่อง,แยกทล.หมายเลข - ซับพลู,25.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  25.000 ," 14.633173,101.611281"," 14.715356,101.437753",คลิกที่นี้,
169,อบจ.นม.22201,หนองบุญมาก,บ.ไทยเจริญ - โบราณสถานปราสาทหินถนนหัก,3.960,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.800 ,  3.160 ," 14.740169,102.394333"," 14.751780,102.425389",คลิกที่นี้,
170,อบจ.นม.22302,หนองบุญมาก,บ.ซับตะคร้อ - บ.หัวทำนบ,10.595,  -   ,  -   ,  0.125 ,  -   ,  -   ,  -   ,  1.600 ,  -   ,  -   ,  -   ,  8.870 ," 14.713091,102.452895"," 14.619931,102.438653",คลิกที่นี้,
