ที่,รหัสสายทาง,อำเภอ,ชื่อสายทาง,ระยะทางรวม (กม.),ปีงบประมาณ 2561,,,ปีงบประมาณ 2562,,,ปีงบประมาณ 2563,,,,,,,,
,,,,,ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",สามารถใช้การได้ (กม.),ต้องได้รับการซ่อมแซม (กม.),ค่าพิกัดจุดเริ่มต้นสายทาง,ด่วพิกัดจุดสิ้นสุดสายทาง,ลิงค์ google map,
21,อบจ.นม.01222,เมือง,บ.โกรก - ถนนมิตรภาพ,3.300,  -   ,  -   ,  0.175 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.125 ,  -   ," 15.081385,102.114629"," 15.098902,102.143093",คลิกที่นี้,
22,อบจ.นม.01223,เมือง,บ.เสาหงษ์ - บ.นากลาง,3.300,  -   ,  -   ,  0.175 ,  -   ,  -   ,  -   ,  1.192 ,  -   ,  0.300 ,  -   ,  1.633 ," 14.898629,101.902164"," 14.875830,101.916079",คลิกที่นี้,
23,อบจ.นม.02101,ครบุรี,บ.มาบพิมาน - บ.ตลิ่งชัน,4.320,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.782 ,  -   ,  -   ,  -   ,  3.538 ," 14.510556,102.077330"," 14.484726,102.070376",คลิกที่นี้,
24,อบจ.นม.02102,ครบุรี,บ.เทพนิมิตร - บ.ประดู่งาม,2.970,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.970 ," 14.486492,102.326081"," 14.507516,102.351139",คลิกที่นี้,
25,อบจ.นม.02203,ครบุรี,บ.อรพิมพ์ - บ.พนาหนองหิน,6.675,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.675 ," 14.552754,102.214990"," 14.595377,102.256584",คลิกที่นี้,
26,อบจ.นม.02204,ครบุรี,บ.สระว่านพระยา - บ.หัวทำนบ,7.490,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.595 ,  -   ,  -   ,  6.300 ,  0.595 ," 15.000003,102.646399","15.051978,102.635605",คลิกที่นี้,
27,อบจ.นม.02305,ครบุรี,บ.หนองสะแก - บ.หนองหินโคน,8.500,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.782 ,  -   ,  -   ,  -   ,  7.718 ," 14.525231,102.262867"," 14.556905,102.312363",คลิกที่นี้,
28,อบจ.นม.02306,ครบุรี,บ.ซับระวิง - บ.บ่อลิง,7.808,  -   ,  -   ,  0.130 ,  -   ,  -   ,  -   ,  0.687 ,  -   ,  -   ,  -   ,  6.991 ," 14.424890,102.361972"," 14.361289,102.365191",คลิกที่นี้,
29,อบจ.นม.02307,ครบุรี,บ.แซะ - บ.โนนกลาง,8.263,  -   ,  -   ,  1.040 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.223 ,"14.521102,102.247694"," 14.510522,102.224779",คลิกที่นี้,
30,อบจ.นม.03201,เสิงสาง,บ.สระประทีป - บ.หนองกก,7.228,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.228 ,"14.421990,102.388648","14.476973,102.413318",คลิกที่นี้,
